eV n k
0.062 0.6617 0.82211
0.0645 1.05383 0.41369
0.067 1.23706 0.34013
0.0695 1.33878 0.29705
0.072 1.4025 0.26309
0.0745 1.45185 0.23383
0.077 1.49378 0.20722
0.0795 1.53636 0.18903
0.082 1.5744 0.17562
0.0845 1.60976 0.16513
0.087 1.64661 0.157
0.0895 1.68958 0.157
0.092 1.73686 0.1704
0.0945 1.78575 0.19962
0.097 1.80585 0.28412
0.0995 1.73968 0.34249
0.102 1.64767 0.30953
0.1045 1.62915 0.188
0.107 1.70504 0.10984
0.1095 1.7976 0.0732
0.112 1.88952 0.05001
0.1145 2.01774 0.0463
0.117 2.17342 0.08755
0.1195 2.34684 0.17274
0.122 2.53529 0.32965
0.1245 2.71739 0.58206
0.127 2.83432 0.94739
0.1295 2.77784 1.49465
0.132 2.46387 2.00419
0.1345 1.82733 2.50667
0.137 0.8138 2.41
0.1395 0.3634 1.69
0.142 0.41243 1.2402
0.1445 0.46131 1.02046
0.147 0.47367 0.86625
0.1495 0.45592 0.73192
0.152 0.41519 0.58769
0.1545 0.4043 0.37031
0.157 0.51564 0.16431
0.1595 0.67687 0.0572
0.162 0.79448 0.03461
0.1645 0.87987 0.02667
0.167 0.93917 0.0164
0.1695 0.98597 0.01264
0.172 1.02574 0.0117
0.1745 1.06416 0.01002
0.177 1.09263 0.00889
0.1795 1.11315 0.00855
0.182 1.13537 0.00837
0.1845 1.14934 0.00795
0.187 1.1633 0.00754
0.1895 1.17727 0.00713
0.192 1.19124 0.00672
0.1945 1.19798 0.00658
0.197 1.20472 0.00644
0.1995 1.21147 0.0063
0.202 1.21821 0.00616
0.2045 1.22491 0.00612
0.207 1.23161 0.00609
0.2095 1.23831 0.00606
0.212 1.245 0.00602
0.2145 1.25176 0.00589
0.217 1.25851 0.00576
0.2195 1.26526 0.00563
0.222 1.27202 0.0055
0.2245 1.27873 0.00528
0.227 1.28544 0.00506
0.2295 1.29215 0.00484
0.232 1.29885 0.00462
0.2345 1.30562 0.0045
0.237 1.31238 0.00438
0.2395 1.31914 0.00427
0.242 1.3259 0.00415
0.2445 1.33086 0.00395
0.247 1.33582 0.00375
0.2495 1.34078 0.00355
0.252 1.34574 0.00334
0.2545 1.34805 0.00297
0.257 1.35037 0.00259
